iter	Passed	Remaining
0	1	169
1	3	183
2	4	155
3	5	140
4	7	133
5	8	127
6	9	122
7	10	116
8	11	112
9	12	111
10	13	110
11	14	107
12	15	105
13	16	104
14	18	103
15	19	102
16	20	102
17	22	101
18	23	99
19	24	96
20	25	94
21	26	92
22	27	90
23	27	88
24	29	87
25	30	85
26	31	84
27	32	83
28	33	81
29	34	80
30	35	78
31	36	77
32	38	77
33	39	77
34	40	75
35	41	74
36	42	73
37	44	72
38	45	70
39	46	69
40	47	67
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	59
47	54	59
48	56	58
49	57	57
50	59	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	47
59	68	45
60	69	44
61	70	43
62	72	42
63	73	41
64	74	40
65	91	47
66	93	46
67	94	44
68	96	43
69	97	41
70	98	40
71	99	38
72	100	37
73	101	35
74	102	34
75	103	32
76	104	31
77	105	29
78	106	28
79	107	26
80	108	25
81	110	24
82	112	22
83	113	21
84	114	20
85	116	18
86	117	17
87	118	16
88	119	14
89	120	13
90	121	12
91	122	10
92	124	9
93	125	7
94	126	6
95	127	5
96	129	3
97	130	2
98	131	1
99	132	0
