iter	Passed	Remaining
0	182	182436
1	183	91786
2	185	61506
3	186	46373
4	187	37368
5	189	31456
6	191	27114
7	192	23852
8	193	21325
9	194	19300
10	196	17634
11	197	16241
12	198	15069
13	199	14072
14	201	13200
15	202	12442
16	203	11768
17	204	11183
18	206	10653
19	207	10174
20	208	9737
21	210	9337
22	211	8975
23	213	8672
24	214	8366
25	216	8098
26	217	7832
27	218	7593
28	219	7362
29	221	7155
30	222	6959
31	223	6772
32	225	6595
33	226	6424
34	227	6261
35	228	6109
36	229	5964
37	230	5829
38	231	5705
39	232	5590
40	234	5474
41	235	5371
42	236	5267
43	238	5181
44	239	5091
45	241	4999
46	242	4916
47	243	4838
48	245	4764
49	247	4693
50	248	4618
51	249	4545
52	250	4473
53	251	4404
54	252	4338
55	253	4271
56	254	4209
57	255	4155
58	257	4101
59	258	4052
60	259	4000
61	261	3949
62	262	3900
63	263	3856
64	264	3811
65	266	3765
66	267	3719
67	268	3675
68	269	3632
69	270	3592
70	271	3550
71	272	3513
72	273	3477
73	275	3442
74	276	3406
75	277	3373
76	278	3340
77	279	3307
78	281	3278
79	282	3250
80	283	3220
81	284	3189
82	285	3155
83	286	3125
84	287	3095
85	288	3067
86	289	3040
87	291	3017
88	292	2996
89	293	2970
90	294	2944
91	295	2919
92	296	2894
93	297	2869
94	298	2846
95	300	2825
96	301	2803
97	302	2781
98	303	2759
99	304	2738
100	305	2716
101	306	2696
102	307	2675
103	308	2658
104	310	2642
105	311	2625
106	312	2608
107	313	2591
108	315	2578
109	316	2561
110	317	2542
111	318	2525
112	319	2507
113	320	2490
114	321	2472
115	322	2456
116	323	2438
117	324	2421
118	324	2405
119	325	2390
120	327	2376
121	328	2362
122	329	2348
123	330	2334
124	331	2319
125	332	2306
126	333	2291
127	334	2277
128	335	2263
129	336	2252
130	337	2239
131	338	2225
132	339	2212
133	340	2199
134	341	2187
135	342	2174
136	343	2161
137	344	2149
138	345	2140
139	346	2129
140	347	2117
141	348	2104
142	349	2092
143	350	2082
144	351	2072
145	352	2064
146	354	2054
147	355	2043
148	356	2033
149	357	2023
150	358	2013
151	359	2003
152	360	1993
153	361	1984
154	362	1975
155	363	1966
156	364	1958
157	365	1949
158	366	1940
159	367	1931
160	368	1920
161	369	1911
162	370	1902
163	371	1894
164	372	1886
165	374	1879
166	374	1870
167	375	1861
168	376	1853
169	377	1844
170	378	1836
171	379	1829
172	381	1822
173	382	1816
174	383	1808
175	384	1800
176	385	1792
177	386	1785
178	387	1777
179	388	1770
180	389	1763
181	390	1756
182	391	1748
183	392	1741
184	393	1734
185	394	1726
186	395	1720
187	396	1712
188	397	1705
189	398	1698
190	399	1692
191	400	1687
192	402	1681
193	403	1674
194	404	1668
195	405	1662
196	406	1656
197	407	1649
198	408	1643
199	409	1637
200	410	1631
201	411	1624
202	412	1619
203	413	1613
204	414	1608
205	415	1602
206	416	1596
207	418	1593
208	419	1589
209	420	1583
210	421	1577
211	422	1571
212	424	1566
213	425	1561
214	426	1555
215	427	1550
216	428	1545
217	429	1539
218	430	1534
219	431	1528
220	432	1523
221	433	1518
222	434	1513
223	435	1509
224	436	1504
225	438	1500
226	439	1495
227	440	1490
228	441	1485
229	442	1480
230	443	1475
231	444	1471
232	445	1466
233	446	1462
234	447	1457
235	448	1452
236	449	1448
237	450	1443
238	451	1438
239	452	1434
240	454	1430
241	455	1427
242	456	1423
243	457	1418
244	458	1413
245	459	1409
246	460	1404
247	461	1400
248	462	1396
249	463	1391
250	464	1387
251	466	1383
252	467	1379
253	468	1375
254	469	1371
255	470	1367
256	471	1364
257	473	1361
258	474	1357
259	475	1353
260	476	1349
261	477	1346
262	478	1342
263	480	1338
264	481	1335
265	482	1332
266	483	1328
267	485	1325
268	486	1321
269	487	1317
270	488	1314
271	489	1310
272	491	1308
273	492	1304
274	493	1301
275	495	1298
276	496	1295
277	497	1291
278	498	1288
279	499	1285
280	501	1282
281	502	1278
282	503	1275
283	504	1271
284	505	1268
285	506	1265
286	508	1262
287	509	1260
288	510	1256
289	512	1254
290	513	1251
291	514	1247
292	515	1244
293	516	1241
294	517	1237
295	518	1234
296	520	1230
297	521	1227
298	522	1224
299	523	1220
300	524	1217
301	525	1214
302	526	1211
303	527	1208
304	529	1206
305	530	1202
306	531	1200
307	532	1197
308	534	1194
309	535	1191
310	536	1188
311	537	1184
312	538	1181
313	539	1178
314	540	1175
315	541	1172
316	542	1168
317	543	1166
318	545	1163
319	546	1160
320	547	1157
321	548	1154
322	549	1151
323	550	1148
324	551	1146
325	552	1143
326	553	1139
327	554	1136
328	556	1134
329	556	1130
330	558	1127
331	559	1124
332	560	1121
333	561	1118
334	562	1116
335	563	1113
336	564	1111
337	566	1108
338	567	1105
339	568	1103
340	569	1100
341	570	1097
342	571	1094
343	572	1092
344	573	1089
345	574	1086
346	575	1083
347	576	1080
348	577	1077
349	578	1074
350	579	1071
351	580	1069
352	581	1066
353	582	1063
354	583	1060
355	584	1057
356	585	1055
357	586	1052
358	588	1049
359	588	1046
360	589	1044
361	590	1041
362	591	1038
363	592	1035
364	593	1033
365	594	1030
366	595	1027
367	596	1024
368	597	1022
369	598	1019
370	599	1017
371	601	1014
372	602	1011
373	603	1009
374	604	1007
375	605	1005
376	606	1002
377	607	1000
378	609	997
379	610	995
380	611	992
381	612	990
382	613	987
383	614	985
384	615	983
